Ft,MaxFt,MaxDepth,NumTrees,LR,Accuracy,MacroPrecision,MicroPrecision,MacroRecall,MicroRecall,MacroF1,MicroF1,MacroAUC,MicroAUC,Hamming,Time
rdk,auto,3,500,0.2,0.802711,0.7559420607078751,0.8027114267269206,0.728319643018264,0.8027114267269206,0.740468125700256,0.8027114267269206,0.8006910514076861,0.8520335700451903,0.1368624919302776,1233.640648
rdk,auto,3,500,0.5,0.795739,0.742182784675556,0.795739186571982,0.729271338696374,0.795739186571982,0.7349753123222744,0.795739186571982,0.8011007463065237,0.8468043899289865,0.136001721540779,1108.462348
rdk,auto,3,500,0.8,0.798257,0.744488633591886,0.7982569399612653,0.7338164494699252,0.7982569399612653,0.7385097649460594,0.7982569399612653,0.8044891783168191,0.848692704970949,0.1398751882935227,1179.667076
rdk,log2,3,200,0.2,0.778890,0.7536797339276047,0.7788896061975468,0.6650433310035331,0.7788896061975468,0.6968893048975177,0.7788896061975468,0.7528056488609316,0.8341672046481602,0.14676135140951152,26.930645
rdk,log2,3,200,0.5,0.793286,0.7516431701545104,0.7932859909619108,0.7066791636892064,0.7932859909619108,0.7253236536534289,0.7932859909619109,0.7843296285916976,0.8449644932214331,0.1459005810200129,26.690928
rdk,log2,3,200,0.8,0.794448,0.7474553967296289,0.794448030987734,0.7146602958968714,0.794448030987734,0.7288435299449507,0.794448030987734,0.7905033322637557,0.8458360232408005,0.14417904024101572,26.863853
rdk,log2,3,500,0.2,0.797870,0.7612106349983477,0.7978695932859909,0.7116242132322823,0.7978695932859909,0.7322112027532934,0.7978695932859909,0.787513987902423,0.8484021949644931,0.1398751882935227,33.760543
rdk,log2,3,500,0.5,0.798515,0.7516798764183297,0.798515171078115,0.7232560206530956,0.798515171078115,0.7357239657998443,0.798515171078115,0.7965531193456267,0.8488863783085862,0.1415967290725199,33.093328
rdk,log2,3,500,0.8,0.801033,0.7508227544282842,0.8010329244673984,0.7302933028906342,0.8010329244673984,0.7395364488527616,0.8010329244673984,0.8021681907200147,0.8507746933505488,0.1398751882935227,33.064248
rdk,None,3,200,0.2,0.800581,0.7606831260167418,0.8005810200129115,0.7161480228631758,0.8005810200129115,0.7346912236566678,0.8005810200129115,0.791622952888428,0.8504357650096838,0.1368624919302776,533.607930
rdk,None,3,200,0.5,0.798644,0.7484310338453698,0.7986442866365397,0.725590402775017,0.7986442866365397,0.735649814307507,0.7986442866365397,0.7987153476526561,0.8489832149774049,0.13729287712502689,505.187715
rdk,None,3,200,0.8,0.799032,0.7480884513675914,0.799031633311814,0.7309277051221763,0.799031633311814,0.7386798497264883,0.799031633311814,0.8022276913130685,0.8492737249838606,0.1407359586830213,504.120021
rdk,None,3,500,0.2,0.802711,0.7559420607078751,0.8027114267269206,0.728319643018264,0.8027114267269206,0.740468125700256,0.8027114267269206,0.8006910514076861,0.8520335700451903,0.1368624919302776,1174.160030
rdk,None,3,500,0.5,0.795739,0.742182784675556,0.795739186571982,0.729271338696374,0.795739186571982,0.7349753123222744,0.795739186571982,0.8011007463065237,0.8468043899289865,0.136001721540779,1201.335373
