Ft,MaxFt,MaxDepth,NumTrees,Accuracy,MacroPrecision,MicroPrecision,MacroRecall,MicroRecall,MacroF1,MicroF1,MacroAUC,MicroAUC,Hamming,Time
rdk,log2,3,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,5.888949
rdk,log2,4,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,6.042931
rdk,log2,5,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,6.146393
rdk,log2,2,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,6.445630
rdk,log2,3,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,7.386352
rdk,log2,4,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,7.611940
rdk,log2,5,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,8.064242
rdk,None,2,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,71.719286
rdk,None,3,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,102.903674
rdk,None,4,200,0.638541,0.7318659345923266,0.6385409941897998,0.36123482107553934,0.6385409941897998,0.31305864158630814,0.6385409941897998,0.5214793864613682,0.7289057456423499,0.24359802022810415,122.594898
rdk,None,5,200,0.670174,0.7377906274332522,0.6701743060038735,0.42452929662550093,0.6701743060038735,0.4246349208061199,0.6701743060038735,0.5701122419200976,0.7526307295029051,0.22336991607488701,148.294973
rdk,None,2,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,183.136123
rdk,None,3,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,270.345055
rdk,None,4,500,0.638864,0.7154821350575814,0.6388637830858618,0.36192547176475665,0.6388637830858618,0.3143081555062548,0.6388637830858618,0.5220359091327573,0.7291478373143965,0.24058532386485904,470.958130
rdk,None,5,500,0.670303,0.7397011930561371,0.6703034215622983,0.4248180972102933,0.6703034215622983,0.42505321366383225,0.6703034215622983,0.5702028342648826,0.7527275661717236,0.22207876049063913,369.856075
rdk,sqrt,2,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,6.888143
rdk,sqrt,3,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,7.563888
rdk,sqrt,4,200,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,7.991299
rdk,sqrt,5,200,0.625952,0.5000404104017372,0.6259522272433828,0.3369479149383582,0.6259522272433828,0.26355407062012026,0.6259522272433828,0.5028502003558533,0.7194641704325371,0.2582311168495804,8.674855
rdk,sqrt,2,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,8.985317
rdk,sqrt,3,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,10.576644
rdk,sqrt,4,500,0.623628,0.20787604906391222,0.6236281471917366,0.3333333333333333,0.6236281471917366,0.2560520579300453,0.6236281471917366,0.49999999999999994,0.7177211103938024,0.2582311168495804,12.398009
rdk,sqrt,5,500,0.624790,0.5014650832664937,0.6247901872175597,0.3351799003010397,0.6247901872175597,0.2599047421987822,0.6247901872175597,0.5014537317690863,0.7185926404131697,0.2582311168495804,14.209590
