"Supplementary Table 1: Journal articles included in the data set, showing numbers of compounds and assays extracted from each and ChEMBL document identifiers."						
						
Source	Number compounds	Number assays	Number activities	Protocol 1	Protocol 2	ChEMBL document identifier
"Med Chem Res (2013), 22(10), 4893-4908 (DOI:10.1007/s00044-013-0505-8)"	29	5	145	Manual data extraction	Data standardisation and curation	CHEMBL3046314
"J Pesticide Sci (1996), 21(2), 141-146 (DOI:10.1584/jpestics.21.141)"	34	4	136	Manual data extraction	Data standardisation and curation	CHEMBL3046315
"J Pesticide Sci (2003), 28(3), 310-312 (DOI:10.1584/jpestics.28.310)"	26	3	26	Manual data extraction	Data standardisation and curation	CHEMBL3046316
"J Pesticide Sci (1994), 19(2), 137-141 (DOI:10.1584/jpestics.19.2_137)"	10	12	120	Manual data extraction	Data standardisation and curation	CHEMBL3046317
"J Agric Food Chem (2011), 59(9), 4822-4827 (PMID:21443174)"	2	13	14	Manual data extraction	Data standardisation and curation	CHEMBL3046318
"Crop Protection (2012), 39(), 11-17 (DOI:10.1016/j.cropro.2012.04.001)"	11	244	299	Manual data extraction	Data standardisation and curation	CHEMBL3046319
"Med Chem Res (2013), 22(2), 753-757 (DOI:10.1007/s00044-012-0069-z)"	10	1	10	Manual data extraction	Data standardisation and curation	CHEMBL3046320
"J Agric Food Chem (2009), 57(4), 1399-1405 (PMID:19170511)"	17	14	128	Manual data extraction	Data standardisation and curation	CHEMBL3046321
"Ind Crops Prod (2013), 45(), 283-292 (DOI:10.1016/j.indcrop.2012.12.038)"	9	77	279	Manual data extraction	Data standardisation and curation	CHEMBL3046322
"J Pesticide Sci (2001), 26(3), 257-260 (DOI:10.1584/jpestics.26.257)"	16	14	185	Manual data extraction	Data standardisation and curation	CHEMBL3046323
"Med Chem Res (2009), 18(1), 8-19 (DOI:10.1007/s00044-008-9102-7)"	9	2	11	Manual data extraction	Data standardisation and curation	CHEMBL3046324
"Med Chem Res (2012), 21(7), 1218-1225 (DOI:10.1007/s00044-011-9630-4)"	12	4	33	Manual data extraction	Data standardisation and curation	CHEMBL3046325
"J Agric Food Chem (2007), 55(25), 10323-10330 (PMID:18020407)"	90	6	359	Manual data extraction	Data standardisation and curation	CHEMBL3046326
"Med Chem Res (2011), 20(9), 1499-1504 (DOI:10.1007/s00044-010-9396-0)"	21	18	152	Manual data extraction	Data standardisation and curation	CHEMBL3046327
"Med Chem Res (2013), 22(11), 5504-5535 (DOI:10.1007/s00044-013-0547-y)"	16	8	29	Manual data extraction	Data standardisation and curation	CHEMBL3046328
"Pest Manag Sci (2012), 68(8), 1156-1163 (PMID:22411909)"	3	70	202	Manual data extraction	Data standardisation and curation	CHEMBL3046329
"Med Chem Res (2012), 21(11), 3499-3508 (DOI:10.1007/s00044-011-9882-z)"	24	35	480	Manual data extraction	Data standardisation and curation	CHEMBL3046330
"J Pesticide Sci (2009), 34(3), 177-180 (DOI:10.1584/jpestics.G09-05)"	8	9	31	Manual data extraction	Data standardisation and curation	CHEMBL3046331
"J Pesticide Sci (2006), 31(3), 335-338 (DOI:10.1584/jpestics.31.335)"	1	21	21	Manual data extraction	Data standardisation and curation	CHEMBL3046332
"Med Chem Res (2010), 19(1), 71-76 (DOI:10.1007/s00044-009-9172-1)"	12	1	12	Manual data extraction	Data standardisation and curation	CHEMBL3046333
"Med Chem Res (2012), 21(5), 672-680 (DOI:10.1007/s00044-011-9566-8)"	69	1	138	Manual data extraction	Data standardisation and curation	CHEMBL3046334
"Med Chem Res (2009), 18(8), 639-647 (DOI:10.1007/s00044-008-9155-7)"	28	2	56	Manual data extraction	Data standardisation and curation	CHEMBL3046335
"Crop Protection (2008), 27(3), 514-522 (DOI:10.1016/j.cropro.2007.08.004)"	14	10	45	Manual data extraction	Data standardisation and curation	CHEMBL3046336
"Med Chem Res (2013), 22(9), 4133-4145 (DOI:10.1007/s00044-012-0418-y)"	26	1	52	Manual data extraction	Data standardisation and curation	CHEMBL3046337
"Med Chem Res (2005), 14(6), 332-346 (DOI:10.1007/s00044-006-0142-6)"	65	3	85	Manual data extraction	Data standardisation and curation	CHEMBL3046338
"J Agric Food Chem (2000), 48(1), 88-92 (PMID:10637057)"	4	80	104	Manual data extraction	Data standardisation and curation	CHEMBL3046339
"Med Chem Res (2012), 21(9), 2329-2339 (DOI:10.1007/s00044-011-9754-6)"	28	2	56	Manual data extraction	Data standardisation and curation	CHEMBL3046340
"Bioorg. Med. Chem. Lett. (1994), 4(16), 1983-1984 (DOI:10.1016/S0960-894X(01)80548-5)"	3	1	3	Manual data extraction	Data standardisation and curation	CHEMBL3046341
"Med Chem Res (2013), 22(4), 1998-2004 (DOI:10.1007/s00044-012-0155-2)"	7	12	44	Manual data extraction	Data standardisation and curation	CHEMBL3046342
"Pest Manag Sci (2009), 65(12), 1329-1336 (PMID:19642076)"	3	27	28	Manual data extraction	Data standardisation and curation	CHEMBL3046343
"Annu Rev Phytopathol (2002), 40(), 221-249 (PMID:12147760)"	18	14	25	Manual data extraction	Data standardisation and curation	CHEMBL3046344
"Med Chem Res (2012), 21(7), 1376-1383 (DOI:10.1007/s00044-011-9653-x)"	6	10	52	Manual data extraction	Data standardisation and curation	CHEMBL3046345
"Med Chem Res (2011), 20(7), 946-954 (DOI:10.1007/s00044-010-9417-z)"	17	9	135	Manual data extraction	Data standardisation and curation	CHEMBL3046346
"Med Chem Res (2012), 21(10), 3006-3014 (DOI:10.1007/s00044-011-9834-7)"	21	30	213	Manual data extraction	Data standardisation and curation	CHEMBL3046347
"Med Chem Res (2012), 21(11), 3687-3691 (DOI:10.1007/s00044-011-9913-9)"	14	5	65	Manual data extraction	Data standardisation and curation	CHEMBL3046348
"Med Chem Res (2004), 13(1), 115-126 (DOI:10.1007/s00044-004-0017-7)"	1	1	1	Manual data extraction	Data standardisation and curation	CHEMBL3046349
"Bioorg. Med. Chem. (2009), 17(12), 4221-4229 (PMID:19028100)"	20	6	80	Manual data extraction	Data standardisation and curation	CHEMBL3046350
"Ind Crops Prod (2007), 26(3), 345-350 (DOI:10.1016/j.indcrop.2007.04.005)"	10	12	33	Manual data extraction	Data standardisation and curation	CHEMBL3046351
"Med Chem Res (2011), 20(7), 912-919 (DOI:10.1007/s00044-010-9420-4)"	18	3	54	Manual data extraction	Data standardisation and curation	CHEMBL3046352
"Biosci. Biotechnol. Biochem. (1993), 57(6), 989-991 (PMID:7763889)"	22	26	572	Manual data extraction	Data standardisation and curation	CHEMBL3046353
"J Agric Food Chem (2009), 57(3), 951-957 (PMID:19138119)"	23	8	107	Manual data extraction	Data standardisation and curation	CHEMBL3046354
"J Agric Food Chem (2010), 58(5), 2685-2689 (PMID:20000686)"	18	16	247	Manual data extraction	Data standardisation and curation	CHEMBL3046355
"Med Chem Res (2013), 22(10), 4920-4929 (DOI:10.1007/s00044-013-0493-8)"	35	7	126	Manual data extraction	Data standardisation and curation	CHEMBL3046356
"Tetrahedron (2004), 60(8), 1731-1748 (DOI:10.1016/j.tet.2003.12.047)"	25	1	25	Manual data extraction	Data standardisation and curation	CHEMBL3046357
"Crop Protection (2012), 38(), 35-43 (DOI:10.1016/j.cropro.2012.03.002)"	3	147	177	Manual data extraction	Data standardisation and curation	CHEMBL3046358
"Med Chem Res (2012), 21(6), 853-866 (DOI:10.1007/s00044-011-9594-4)"	51	6	51	Manual data extraction	Data standardisation and curation	CHEMBL3046359
"Med Chem Res (2010), 19(9), 1025-1035 (DOI:10.1007/s00044-009-9248-y)"	13	27	180	Manual data extraction	Data standardisation and curation	CHEMBL3046360
"Med Chem Res (2013), 22(7), 3049-3060 (DOI:10.1007/s00044-012-0321-6)"	23	10	26	Manual data extraction	Data standardisation and curation	CHEMBL3046361
"Med Chem Res (2011), 20(4), 482-492 (DOI:10.1007/s00044-010-9342-1)"	27	5	109	Manual data extraction	Data standardisation and curation	CHEMBL3046362
"J Agric Food Chem (2008), 56(22), 10767-10773 (PMID:18973342)"	36	11	163	Manual data extraction	Data standardisation and curation	CHEMBL3046363
"J Pesticide Sci (2002), 27(2), 133-135 (DOI:10.1584/jpestics.27.133)"	21	2	42	Manual data extraction	Data standardisation and curation	CHEMBL3046364
"J Pesticide Sci (2004), 29(4), 372-375 (DOI:10.1584/jpestics.29.372)"	1	21	21	Manual data extraction	Data standardisation and curation	CHEMBL3046365
"Med Chem Res (2013), 22(7), 3242-3246 (DOI:10.1007/s00044-012-0330-5)"	13	2	15	Manual data extraction	Data standardisation and curation	CHEMBL3046366
"J Agric Food Chem (2012), 60(49), 12074-12081 (PMID:23163769)"	18	40	57	Manual data extraction	Data standardisation and curation	CHEMBL3046367
"Med Chem Res (2012), 21(9), 2644-2651 (DOI:10.1007/s00044-011-9789-8)"	19	70	240	Manual data extraction	Data standardisation and curation	CHEMBL3046368
"Med Chem Res (2013), 22(1), 186-194 (DOI:10.1007/s00044-012-0020-3)"	25	6	150	Manual data extraction	Data standardisation and curation	CHEMBL3046369
"Med Chem Res (2009), 18(4), 309-316 (DOI:10.1007/s00044-008-9128-x)"	21	2	42	Manual data extraction	Data standardisation and curation	CHEMBL3046370
"Med Chem Res (2013), 22(8), 3606-3620 (DOI:10.1007/s00044-012-0375-5)"	38	1	38	Manual data extraction	Data standardisation and curation	CHEMBL3046371
"Med Chem Res (2004), 13(5), 282-296 (DOI:10.1007/s00044-004-0034-6)"	9	5	30	Manual data extraction	Data standardisation and curation	CHEMBL3046372
"Pest Manag Sci (2010), 66(12), 1344-1350 (PMID:20824690)"	6	2	12	Manual data extraction	Data standardisation and curation	CHEMBL3046373
"J Pesticide Sci (2007), 32(3), 260-263 (DOI:10.1584/jpestics.G07-04)"	7	5	24	Manual data extraction	Data standardisation and curation	CHEMBL3046374
"J Pesticide Sci (2012), 37(3), 247-251 (DOI:10.1584/jpestics.D11-054)"	47	3	48	Manual data extraction	Data standardisation and curation	CHEMBL3046375
"Med Chem Res (2013), 22(7), 3372-3378 (DOI:10.1007/s00044-012-0352-z)"	2	9	18	Manual data extraction	Data standardisation and curation	CHEMBL3046376
"Phytochemistry (2005), 66(2), 241-247 (PMID:15652581)"	10	9	40	Manual data extraction	Data standardisation and curation	CHEMBL3046377
"Biosci. Biotechnol. Biochem. (1992), 56(8), 1364-1365 (DOI:10.1271/bbb.56.1364)"	9	5	26	Manual data extraction	Data standardisation and curation	CHEMBL3046378
"Ind Crops Prod (2013), 47(), 618-621 (DOI:10.1016/j.indcrop.2012.09.012)"	3	4	12	Manual data extraction	Data standardisation and curation	CHEMBL3046379
"Med Chem Res (2004), 13(3), 134-148 (DOI:10.1007/s00044-004-0020-z)"	30	19	192	Manual data extraction	Data standardisation and curation	CHEMBL3046380
"J Pesticide Sci (1995), 20(3), 273-278 (DOI:10.1584/jpestics.20.273)"	22	8	100	Manual data extraction	Data standardisation and curation	CHEMBL3046381
"J Agric Food Chem (2009), 57(6), 2447-2456 (PMID:19222202)"	30	18	226	Manual data extraction	Data standardisation and curation	CHEMBL3046382
"Biosci. Biotechnol. Biochem. (1998), 62(11), 2189-2193 (DOI:10.1271/bbb.62.2189)"	113	23	671	Manual data extraction	Data standardisation and curation	CHEMBL3046383
"Med Chem Res (2012), 21(5), 642-652 (DOI:10.1007/s00044-011-9567-7)"	3	1	3	Manual data extraction	Data standardisation and curation	CHEMBL3046384
"Chin Chem Lett (2012), 23(9), 1023-1026 (DOI:10.1016/j.cclet.2012.07.002)"	11	5	39	Manual data extraction	Data standardisation and curation	CHEMBL3046385
"Med Chem Res (2011), 20(8), 1287-1293 (DOI:10.1007/s00044-010-9466-3)"	10	3	30	Manual data extraction	Data standardisation and curation	CHEMBL3046386
"Med Chem Res (2012), 21(9), 2709-2715 (DOI:10.1007/s00044-011-9797-8)"	14	2	14	Manual data extraction	Data standardisation and curation	CHEMBL3046387
"Chem Pharm Bull (Tokyo) (1987), 35(9), 3931-3934 (PMID:3435989)"	3	14	38	Manual data extraction	Data standardisation and curation	CHEMBL3046388
"Med Chem Res (2013), 22(8), 3760-3778 (DOI:10.1007/s00044-012-0337-y)"	26	128	1170	Manual data extraction	Data standardisation and curation	CHEMBL3046389
"Pest Manag Sci (2010), 66(10), 1137-1147 (PMID:20628996)"	16	19	193	Manual data extraction	Data standardisation and curation	CHEMBL3046390
"Crop Protection (2013), 43(), 14-17 (DOI:10.1016/j.cropro.2012.09.011)"	2	8	20	Manual data extraction	Data standardisation and curation	CHEMBL3046391
"Biosci. Biotechnol. Biochem. (2002), 66(12), 2677-2682 (PMID:12596866)"	31	16	179	Manual data extraction	Data standardisation and curation	CHEMBL3046392
"Med Chem Res (2013), 22(1), 415-432 (DOI:10.1007/s00044-012-0042-x)"	41	1	41	Manual data extraction	Data standardisation and curation	CHEMBL3046393
"Crop Protection (2009), 28(1), 62-67 (DOI:10.1016/j.cropro.2008.08.012)"	8	23	32	Manual data extraction	Data standardisation and curation	CHEMBL3046394
"Med Chem Res (2008), 17(9), 564-577 (DOI:10.1007/s00044-008-9098-z)"	20	17	285	Manual data extraction	Data standardisation and curation	CHEMBL3046395
"J Agric Food Chem (2010), 58(3), 1834-1837 (PMID:20041716)"	23	10	148	Manual data extraction	Data standardisation and curation	CHEMBL3046396
"J Pesticide Sci (1994), 19(4), 267-275 (DOI:10.1584/jpestics.19.4_267)"	45	21	137	Manual data extraction	Data standardisation and curation	CHEMBL3046397
"Biosci. Biotechnol. Biochem. (1998), 62(9), 1693-1697 (DOI:10.1271/bbb.62.1693)"	20	6	120	Manual data extraction	Data standardisation and curation	CHEMBL3046398
"Med Chem Res (2012), 21(11), 3629-3645 (DOI:10.1007/s00044-011-9907-7)"	21	4	64	Manual data extraction	Data standardisation and curation	CHEMBL3046399
"Pest Manag Sci (2010), 66(1), 90-99 (PMID:19742452)"	9	12	108	Manual data extraction	Data standardisation and curation	CHEMBL3046400
"Med Chem Res (2010), 19(6), 551-564 (DOI:10.1007/s00044-009-9212-x)"	3	4	11	Manual data extraction	Data standardisation and curation	CHEMBL3046401
"Med Chem Res (2013), 22(9), 4316-4321 (DOI:10.1007/s00044-012-0434-y)"	15	11	84	Manual data extraction	Data standardisation and curation	CHEMBL3046402
"Med Chem Res (2013), 22(5), 2455-2466 (DOI:10.1007/s00044-012-0240-6)"	4	6	22	Manual data extraction	Data standardisation and curation	CHEMBL3046403
"Med Chem Res (2013), 22(7), 3452-3458 (DOI:10.1007/s00044-012-0355-9)"	15	22	90	Manual data extraction	Data standardisation and curation	CHEMBL3046404
"Pest Manag Sci (2012), 68(11), 1501-1511 (PMID:22689565)"	1	47	47	Manual data extraction	Data standardisation and curation	CHEMBL3046405
"J Agric Food Chem (2006), 54(5), 1779-1783 (PMID:16506833)"	4	39	156	Manual data extraction	Data standardisation and curation	CHEMBL3046406
"Ind Crops Prod (2007), 26(3), 278-297 (DOI:10.1016/j.indcrop.2007.03.009)"	32	97	988	Manual data extraction	Data standardisation and curation	CHEMBL3046407
"J Agric Food Chem (2011), 59(5), 1893-1899 (PMID:21314121)"	2	15	30	Manual data extraction	Data standardisation and curation	CHEMBL3046408
"Med Chem Res (2012), 21(9), 2671-2679 (DOI:10.1007/s00044-011-9793-z)"	2	12	15	Manual data extraction	Data standardisation and curation	CHEMBL3046409
"Med Chem Res (2012), 21(7), 1341-1346 (DOI:10.1007/s00044-011-9648-7)"	11	8	84	Manual data extraction	Data standardisation and curation	CHEMBL3046410
"Med Chem Res (2013), 22(2), 794-805 (DOI:10.1007/s00044-012-0062-6)"	24	2	48	Manual data extraction	Data standardisation and curation	CHEMBL3046411
"Farmaco (2002), 57(2), 135-144 (PMID:11902656)"	25	20	126	Manual data extraction	Data standardisation and curation	CHEMBL3046412
"J Agric Food Chem (2012), 60(28), 7016-7021 (PMID:22724658)"	41	3	123	Manual data extraction	Data standardisation and curation	CHEMBL3046413
"Med Chem Res (2012), 21(7), 1107-1119 (DOI:10.1007/s00044-011-9612-6)"	16	45	179	Manual data extraction	Data standardisation and curation	CHEMBL3046414
"Chem Pharm Bull (Tokyo) (2009), 57(8), 819-825 (PMID:19652406)"	9	5	23	Manual data extraction	Data standardisation and curation	CHEMBL3046415
"J Agric Food Chem (2010), 58(7), 4361-4366 (PMID:20225860)"	2	19	19	Manual data extraction	Data standardisation and curation	CHEMBL3046416
"Ecotoxicol Environ Saf (2009), 72(4), 1156-1162 (PMID:18397808)"	2	20	34	Manual data extraction	Data standardisation and curation	CHEMBL3046417
"J Pesticide Sci (2001), 26(2), 162-164 (DOI:10.1584/jpestics.26.162)"	18	64	320	Manual data extraction	Data standardisation and curation	CHEMBL3046418
"Pest Manag Sci (2008), 64(6), 646-653 (PMID:18407564)"	7	24	77	Manual data extraction	Data standardisation and curation	CHEMBL3046419
"Bioorg. Med. Chem. Lett. (2012), 22(18), 5819-5822 (PMID:22901896)"	11	5	90	Manual data extraction	Data standardisation and curation	CHEMBL3046420
"Med Chem Res (2008), 17(2), 374-385 (DOI:10.1007/s00044-007-9073-0)"	25	9	57	Manual data extraction	Data standardisation and curation	CHEMBL3046421
"J Pesticide Sci (2006), 31(2), 150-155 (DOI:10.1584/jpestics.31.150)"	9	3	27	Manual data extraction	Data standardisation and curation	CHEMBL3046422
"Med Chem Res (2011), 20(8), 1394-1401 (DOI:10.1007/s00044-010-9490-3)"	8	26	170	Manual data extraction	Data standardisation and curation	CHEMBL3046423
"J Agric Food Chem (2000), 48(5), 1903-1908 (PMID:10820113)"	3	49	109	Manual data extraction	Data standardisation and curation	CHEMBL3046424
"J Pesticide Sci (2001), 26(2), 136-142 (DOI:10.1584/jpestics.26.136)"	40	20	168	Manual data extraction	Data standardisation and curation	CHEMBL3046425
"Med Chem Res (2010), 19(3), 283-298 (DOI:10.1007/s00044-009-9191-y)"	7	18	99	Manual data extraction	Data standardisation and curation	CHEMBL3046426
"Med Chem Res (2012), 21(10), 3195-3203 (DOI:10.1007/s00044-011-9860-5)"	4	20	35	Manual data extraction	Data standardisation and curation	CHEMBL3046427
"J Agric Food Chem (2011), 59(6), 2299-2307 (PMID:21351753)"	12	42	288	Manual data extraction	Data standardisation and curation	CHEMBL3046428
"Med Chem Res (2013), 22(5), 2360-2375 (DOI:10.1007/s00044-012-0230-8)"	27	58	278	Manual data extraction	Data standardisation and curation	CHEMBL3046429
"Med Chem Res (2013), 22(8), 3566-3573 (DOI:10.1007/s00044-012-0343-0)"	11	14	154	Manual data extraction	Data standardisation and curation	CHEMBL3046430
"Med Chem Res (2013), 22(1), 401-408 (DOI:10.1007/s00044-012-0043-9)"	24	3	72	Manual data extraction	Data standardisation and curation	CHEMBL3046431
"Med Chem Res (2013), 22(10), 5036-5043 (DOI:10.1007/s00044-013-0506-7)"	8	3	24	Manual data extraction	Data standardisation and curation	CHEMBL3046432
"Med Chem Res (2005), 14(5), 274-296 (DOI:10.1007/s00044-005-0139-6)"	21	14	128	Manual data extraction	Data standardisation and curation	CHEMBL3046433
"Med Chem Res (2009), 18(4), 268-276 (DOI:10.1007/s00044-008-9125-0)"	27	2	54	Manual data extraction	Data standardisation and curation	CHEMBL3046434
"J Agric Food Chem (2008), 56(14), 5577-5581 (PMID:18578532)"	3	3	4	Manual data extraction	Data standardisation and curation	CHEMBL3046435
"Crop Protection (2012), 32(), 71-75 (DOI:10.1016/j.cropro.2011.08.017)"	3	59	59	Manual data extraction	Data standardisation and curation	CHEMBL3046436
"Med Chem Res (2012), 21(12), 4381-4388 (DOI:10.1007/s00044-012-9978-0)"	15	12	177	Manual data extraction	Data standardisation and curation	CHEMBL3046437
"Med Chem Res (2005), 14(8), 429-439 (DOI:10.1007/s00044-006-0147-0)"	9	12	108	Manual data extraction	Data standardisation and curation	CHEMBL3046438
"Med Chem Res (2013), 22(2), 580-587 (DOI:10.1007/s00044-012-0039-5)"	10	23	52	Manual data extraction	Data standardisation and curation	CHEMBL3046439
"Med Chem Res (2012), 21(3), 315-320 (DOI:10.1007/s00044-010-9544-6)"	12	1	12	Manual data extraction	Data standardisation and curation	CHEMBL3046440
"J Agric Food Chem (2011), 59(7), 2909-2917 (PMID:20879794)"	90	6	286	Manual data extraction	Data standardisation and curation	CHEMBL3046441
"J Pesticide Sci (1992), 17(1), 69-73 (DOI:10.1584/jpestics.17.69)"	26	8	86	Manual data extraction	Data standardisation and curation	CHEMBL3046442
"Med Chem Res (2011), 20(9), 1622-1626 (DOI:10.1007/s00044-010-9444-9)"	7	7	33	Manual data extraction	Data standardisation and curation	CHEMBL3046443
"Med Chem Res (2012), 21(12), 4230-4238 (DOI:10.1007/s00044-011-9967-8)"	15	3	45	Manual data extraction	Data standardisation and curation	CHEMBL3046444
"Bioorg. Med. Chem. (2010), 18(23), 8194-8203 (PMID:21036621)"	11	2	22	Manual data extraction	Data standardisation and curation	CHEMBL3046445
"J Pesticide Sci (1994), 19(4), 317-320 (DOI:10.1584/jpestics.19.4_317)"	10	5	50	Manual data extraction	Data standardisation and curation	CHEMBL3046446
"Biosci. Biotechnol. Biochem. (1999), 63(4), 760-761 (DOI:10.1271/bbb.63.760)"	1	42	42	Manual data extraction	Data standardisation and curation	CHEMBL3046447
"J Agric Food Chem (2006), 54(24), 9135-9139 (PMID:17117801)"	24	13	312	Manual data extraction	Data standardisation and curation	CHEMBL3046448
"J Pesticide Sci (1990), 15(4), 531-538 (DOI:10.1584/jpestics.15.531)"	27	83	208	Manual data extraction	Data standardisation and curation	CHEMBL3046449
"J Agric Food Chem (2013), 61(2), 312-319 (PMID:23256728)"	22	2	36	Manual data extraction	Data standardisation and curation	CHEMBL3046450
"Med Chem Res (2012), 21(10), 3182-3194 (DOI:10.1007/s00044-011-9849-0)"	17	30	310	Manual data extraction	Data standardisation and curation	CHEMBL3046451
"Med Chem Res (2013), 22(3), 1378-1385 (DOI:10.1007/s00044-012-0130-y)"	14	4	42	Manual data extraction	Data standardisation and curation	CHEMBL3046452
"Pest Manag Sci (2013), 69(4), 535-541 (PMID:23193012)"	3	3	14	Manual data extraction	Data standardisation and curation	CHEMBL3046453
"Med Chem Res (2013), 22(5), 2151-2162 (DOI:10.1007/s00044-012-0208-6)"	31	3	39	Manual data extraction	Data standardisation and curation	CHEMBL3046454
"Med Chem Res (2013), 22(9), 4239-4252 (DOI:10.1007/s00044-012-0431-1)"	26	11	241	Manual data extraction	Data standardisation and curation	CHEMBL3046455
"Med Chem Res (2011), 20(7), 920-929 (DOI:10.1007/s00044-010-9418-y)"	14	13	49	Manual data extraction	Data standardisation and curation	CHEMBL3046456
"Biochem Syst Ecol (2012), 43(), 101-107 (DOI:10.1016/j.bse.2012.02.012)"	3	7	21	Manual data extraction	Data standardisation and curation	CHEMBL3046457
"Crop Protection (2012), 34(), 37-41 (DOI:10.1016/j.cropro.2011.10.015)"	1	20	20	Manual data extraction	Data standardisation and curation	CHEMBL3046458
"Med Chem Res (2010), 19(4), 375-391 (DOI:10.1007/s00044-009-9197-5)"	55	1	110	Manual data extraction	Data standardisation and curation	CHEMBL3046459
"J Pesticide Sci (2002), 27(4), 374-377 (DOI:10.1584/jpestics.27.374)"	6	2	13	Manual data extraction	Data standardisation and curation	CHEMBL3046460
"J Pesticide Sci (2011), 36(2), 212-220 (DOI:10.1584/jpestics.G10-87)"	39	4	156	Manual data extraction	Data standardisation and curation	CHEMBL3046461
"Med Chem Res (2012), 21(10), 2885-2895 (DOI:10.1007/s00044-011-9820-0)"	28	4	60	Manual data extraction	Data standardisation and curation	CHEMBL3046462
"Med Chem Res (2013), 22(4), 1846-1855 (DOI:10.1007/s00044-012-0176-x)"	6	13	68	Manual data extraction	Data standardisation and curation	CHEMBL3046463
"Med Chem Res (2013), 22(11), 5153-5166 (DOI:10.1007/s00044-012-0457-4)"	35	1	35	Manual data extraction	Data standardisation and curation	CHEMBL3046464
"Med Chem Res (2013), 22(1), 453-465 (DOI:10.1007/s00044-012-0049-3)"	6	20	100	Manual data extraction	Data standardisation and curation	CHEMBL3046465
"Med Chem Res (2012), 21(3), 284-292 (DOI:10.1007/s00044-010-9534-8)"	11	1	22	Manual data extraction	Data standardisation and curation	CHEMBL3046466
"J Pesticide Sci (2011), 36(3), 347-356 (DOI:10.1584/jpestics.G10-70)"	46	8	196	Manual data extraction	Data standardisation and curation	CHEMBL3046467
"Med Chem Res (2012), 21(11), 3361-3368 (DOI:10.1007/s00044-011-9866-z)"	11	18	126	Manual data extraction	Data standardisation and curation	CHEMBL3046468
"J Pesticide Sci (1998), 23(2), 107-112 (DOI:10.1584/jpestics.23.107)"	65	42	470	Manual data extraction	Data standardisation and curation	CHEMBL3046469
"Med Chem Res (2013), 22(2), 1011-1020 (DOI:10.1007/s00044-012-0097-8)"	7	8	29	Manual data extraction	Data standardisation and curation	CHEMBL3046470
"Med Chem Res (2013), 22(5), 2244-2252 (DOI:10.1007/s00044-012-0217-5)"	34	8	136	Manual data extraction	Data standardisation and curation	CHEMBL3046471
"Pest Manag Sci (2010), 66(2), 196-202 (PMID:19798697)"	34	2	81	Manual data extraction	Data standardisation and curation	CHEMBL3046472
"Biosci. Biotechnol. Biochem. (1992), 56(8), 1193-1197 (DOI:10.1271/bbb.56.1193)"	8	2	12	Manual data extraction	Data standardisation and curation	CHEMBL3046473
"Med Chem Res (2013), 22(7), 3229-3241 (DOI:10.1007/s00044-012-0327-0)"	43	1	43	Manual data extraction	Data standardisation and curation	CHEMBL3046474
"J Agric Food Chem (2012), 60(4), 1036-1041 (PMID:22208183)"	16	18	77	Manual data extraction	Data standardisation and curation	CHEMBL3046475
"Med Chem Res (2005), 14(5), 297-308 (DOI:10.1007/s00044-005-0140-0)"	7	4	36	Manual data extraction	Data standardisation and curation	CHEMBL3046476
"Med Chem Res (2010), 19(5), 498-513 (DOI:10.1007/s00044-009-9208-6)"	17	33	101	Manual data extraction	Data standardisation and curation	CHEMBL3046477
"Med Chem Res (2013), 22(8), 3574-3580 (DOI:10.1007/s00044-012-0347-9)"	10	9	47	Manual data extraction	Data standardisation and curation	CHEMBL3046478
"Med Chem Res (2013), 22(10), 4930-4945 (DOI:10.1007/s00044-013-0498-3)"	32	10	295	Manual data extraction	Data standardisation and curation	CHEMBL3046479
"Med Chem Res (2013), 22(5), 2093-2104 (DOI:10.1007/s00044-012-0197-5)"	32	7	180	Manual data extraction	Data standardisation and curation	CHEMBL3046480
"J Agric Food Chem (2009), 57(14), 6356-6361 (PMID:19601668)"	15	8	36	Manual data extraction	Data standardisation and curation	CHEMBL3046481
"Med Chem Res (2013), 22(4), 1563-1569 (DOI:10.1007/s00044-012-0157-0)"	4	5	12	Manual data extraction	Data standardisation and curation	CHEMBL3046482
"Carbohydr Res (2010), 345(13), 1872-1876 (PMID:20619399)"	13	16	204	Manual data extraction	Data standardisation and curation	CHEMBL3046483
"Pest Manag Sci (2011), 67(12), 1583-1588 (PMID:21674753)"	24	5	104	Manual data extraction	Data standardisation and curation	CHEMBL3046484
"Med Chem Res (2012), 21(12), 4499-4505 (DOI:10.1007/s00044-011-9951-3)"	8	24	66	Manual data extraction	Data standardisation and curation	CHEMBL3046485
"Med Chem Res (2012), 21(11), 3907-3919 (DOI:10.1007/s00044-011-9930-8)"	31	1	31	Manual data extraction	Data standardisation and curation	CHEMBL3046486
"Chem Pharm Bull (Tokyo) (2001), 49(3), 335-339 (PMID:11253928)"	12	9	42	Manual data extraction	Data standardisation and curation	CHEMBL3046487
"J Agric Food Chem (2007), 55(21), 8562-8569 (PMID:17927149)"	13	10	41	Manual data extraction	Data standardisation and curation	CHEMBL3046488
"Carbohydr Res (2005), 340(9), 1583-1590 (PMID:15922315)"	8	4	14	Manual data extraction	Data standardisation and curation	CHEMBL3046489
"Crop Protection (2011), 30(11), 1461-1468 (DOI:10.1016/j.cropro.2011.05.017)"	9	4	20	Manual data extraction	Data standardisation and curation	CHEMBL3046490
