"Supplementary Table 1: Journal articles included in the data set, showing numbers of compounds and assays extracted from each and ChEMBL document identifiers."						
						
Source	Number compounds	Number assays	Number activities	Protocol 1	Protocol 2	ChEMBL document identifier
"J Pesticide Sci (1997), 22(3), 187-192 (DOI:10.1584/jpestics.22.187)"	39	19	127	Manual data extraction	Data standardisation and curation	CHEMBL3044645
"Crop Protection (2007), 26(6), 845-851 (DOI:10.1016/j.cropro.2006.08.005)"	2	28	28	Manual data extraction	Data standardisation and curation	CHEMBL3044646
"J Pesticide Sci (2005), 30(1), 11-16 (DOI:10.1584/jpestics.30.11)"	2	69	69	Manual data extraction	Data standardisation and curation	CHEMBL3044647
"Pest Manag Sci (2012), 68(8), 1122-1129 (PMID:22461383)"	22	2	44	Manual data extraction	Data standardisation and curation	CHEMBL3044648
"Med Chem Res (2012), 21(7), 1188-1198 (DOI:10.1007/s00044-011-9628-y)"	31	8	226	Manual data extraction	Data standardisation and curation	CHEMBL3044649
"Med Chem Res (2012), 21(7), 1149-1155 (DOI:10.1007/s00044-011-9627-z)"	1	1	1	Manual data extraction	Data standardisation and curation	CHEMBL3044650
"J Agric Food Chem (2010), 58(5), 2659-2663 (PMID:20041703)"	25	5	125	Manual data extraction	Data standardisation and curation	CHEMBL3044651
"Med Chem Res (2013), 22(3), 1090-1101 (DOI:10.1007/s00044-012-0084-0)"	32	13	332	Manual data extraction	Data standardisation and curation	CHEMBL3044652
"J Agric Food Chem (2012), 60(31), 7581-7587 (PMID:22816730)"	22	45	379	Manual data extraction	Data standardisation and curation	CHEMBL3044653
"J Pesticide Sci (2012), 37(4), 333-337 (DOI:10.1584/jpestics.D11-055)"	12	52	54	Manual data extraction	Data standardisation and curation	CHEMBL3044654
"Med Chem Res (2012), 21(8), 2006-2011 (DOI:10.1007/s00044-011-9731-0)"	25	1	50	Manual data extraction	Data standardisation and curation	CHEMBL3044655
"Crop Protection (2006), 25(10), 1095-1100 (DOI:10.1016/j.cropro.2006.02.010)"	2	32	40	Manual data extraction	Data standardisation and curation	CHEMBL3044656
