assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id,aidx
916366,70330,"Post-emergence herbicidal activity against Elatine triandra assessed as bleaching of stem/leaf parts",F,,,"Elatine triandra",256093,,,,,106898,N,1,Autocuration,1,537380,CHEMBL3082025,,BAO_0000218,,,CLD0
916367,70330,"Post-emergence herbicidal activity against Rotala indica assessed as bleaching of stem/leaf parts",F,,,"Rotala indica",162024,,,,,107254,N,1,Autocuration,1,537379,CHEMBL3082026,,BAO_0000218,,,CLD0
916368,70330,"Post-emergence herbicidal activity against Schoenoplectiella juncoides assessed as bleaching of stem/leaf parts",F,,,"Schoenoplectiella juncoides",280076,,,,,107084,N,1,Autocuration,1,537377,CHEMBL3082027,,BAO_0000218,,,CLD0
916369,70330,"Post-emergence herbicidal activity against Lindernia procumbens assessed as bleaching of stem/leaf parts",F,,,"Lindernia procumbens",929486,,,,,107335,N,1,Autocuration,1,537378,CHEMBL3082028,,BAO_0000218,,,CLD0
916370,70330,"Post-emergence herbicidal activity against Monochoria vaginalis assessed as bleaching of stem/leaf parts",F,,,"Monochoria vaginalis",44972,,,,,106960,N,1,Autocuration,1,537376,CHEMBL3082029,,BAO_0000218,,,CLD0
916371,70330,"Post-emergence herbicidal activity against Cyperus difformis assessed as bleaching of stem/leaf parts",F,,,"Cyperus difformis",421870,,,,,107323,N,1,Autocuration,1,537375,CHEMBL3082030,,BAO_0000218,,,CLD0
916372,70330,"Post-emergence herbicidal activity against Echinochloa oryzicola assessed as bleaching of stem/leaf parts",F,,,"Echinochloa oryzicola",338574,,,,,107083,N,1,Autocuration,1,537374,CHEMBL3082031,,BAO_0000218,,,CLD0
916395,70334,"Herbicidal activity against Echinochloa oryzicola at 1 g a.i/a treated at 2.5 leaf stage measured after 3 weeks",F,,,"Echinochloa oryzicola",338574,,,,,107083,N,1,Autocuration,1,536920,CHEMBL3081967,,BAO_0000218,,,CLD0
916396,70334,"Herbicidal activity against Echinochloa oryzicola at 2.5 g a.i/a treated at 2.5 leaf stage measured after 3 weeks",F,,,"Echinochloa oryzicola",338574,,,,,107083,N,1,Autocuration,1,536919,CHEMBL3081968,,BAO_0000218,,,CLD0
916397,70334,"Herbicidal activity against Echinochloa oryzicola at 5.0 g a.i/a treated at 2.5 leaf stage measured after 3 weeks",F,,,"Echinochloa oryzicola",338574,,,,,107083,N,1,Autocuration,1,536918,CHEMBL3081969,,BAO_0000218,,,CLD0
916398,70334,"Herbicidal activity against Echinochloa oryzicola at 1 g a.i/a treated at 1.5 leaf stage measured after 3 weeks",F,,,"Echinochloa oryzicola",338574,,,,,107083,N,1,Autocuration,1,536917,CHEMBL3081970,,BAO_0000218,,,CLD0
916399,70334,"Herbicidal activity against Echinochloa oryzicola at 2.5 g a.i/a treated at 1.5 leaf stage measured after 3 weeks",F,,,"Echinochloa oryzicola",338574,,,,,107083,N,1,Autocuration,1,536916,CHEMBL3081971,,BAO_0000218,,,CLD0
916400,70334,"Herbicidal activity against Echinochloa oryzicola at 5.0 g a.i/a treated at 1.5 leaf stage measured after 3 weeks",F,,,"Echinochloa oryzicola",338574,,,,,107083,N,1,Autocuration,1,536914,CHEMBL3081972,,BAO_0000218,,,CLD0
916419,70395,"Herbicidal activity against Arabidopsis thaliana seedlings assessed as chlorosis at 8 to 1000 uM",F,,,"Arabidopsis thaliana",3702,,,,,50324,N,1,Autocuration,1,533747,CHEMBL3082460,,BAO_0000218,,,CLD0
916420,70395,"Herbicidal activity against Arabidopsis thaliana seedlings assessed as injury at 8 to 1000 uM",F,,,"Arabidopsis thaliana",3702,,,,,50324,N,1,Autocuration,1,533746,CHEMBL3082461,,BAO_0000218,,,CLD0
916421,70395,"Herbicidal activity against Arabidopsis thaliana seedlings assessed as injury at 8 to 1000 uM in presence of tryptophan",F,,,"Arabidopsis thaliana",3702,,,,,50324,N,1,Autocuration,1,533745,CHEMBL3082462,,BAO_0000218,,,CLD0
916422,70395,"Herbicidal activity against Arabidopsis thaliana seedlings assessed as injury at 8 to 16 uM",F,,,"Arabidopsis thaliana",3702,,,,,50324,N,1,Autocuration,1,533744,CHEMBL3082463,,BAO_0000218,,,CLD0
916423,70395,"Herbicidal activity against Arabidopsis thaliana seedlings assessed as chlorosis at 125 to 1000 uM",F,,,"Arabidopsis thaliana",3702,,,,,50324,N,1,Autocuration,1,533743,CHEMBL3082464,,BAO_0000218,,,CLD0
916424,70395,"Herbicidal activity against Arabidopsis thaliana seedlings assessed as injury at 31 to 1000 uM",F,,,"Arabidopsis thaliana",3702,,,,,50324,N,1,Autocuration,1,533742,CHEMBL3082465,,BAO_0000218,,,CLD0
916425,70395,"Herbicidal activity against Amaranthus viridis assessed as injury at 4 kg/ha applied as spray during postemergence measured after 2 weeks",F,,,"Amaranthus viridis",56196,,,,,107342,N,1,Autocuration,1,533731,CHEMBL3082466,,BAO_0000218,,,CLD0
916426,70395,"Herbicidal activity against Chenopodium album assessed as injury at 4 kg/ha applied as spray during postemergence measured after 2 weeks",F,,,"Chenopodium album",3559,,,,,101719,N,1,Autocuration,1,533716,CHEMBL3082467,,BAO_0000218,,,CLD0
916454,70439,"Post-emergence herbicidal activity against Setaria viridis (green foxtail) assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Setaria viridis",4556,,,,,50402,N,1,Autocuration,1,532402,CHEMBL3082428,,BAO_0000218,,,CLD0
916455,70439,"Post-emergence herbicidal activity against Phalaris arundinacea assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Phalaris arundinacea",96050,,,,,106904,N,1,Autocuration,1,532401,CHEMBL3082429,,BAO_0000218,,,CLD0
916456,70439,"Post-emergence herbicidal activity against Panicum dichotomiflorum assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Panicum dichotomiflorum",29692,,,,,107434,N,1,Autocuration,1,532400,CHEMBL3082430,,BAO_0000218,,,CLD0
916457,70439,"Post-emergence herbicidal activity against Echinochloa crus-galli (barnyard grass) assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Echinochloa crus-galli",90397,,,,,50059,N,1,Autocuration,1,532399,CHEMBL3082431,,BAO_0000218,,,CLD0
916458,70439,"Post-emergence herbicidal activity against Digitaria sanguinalis (hairy crabgrass) assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Digitaria sanguinalis",121769,,,,,101772,N,1,Autocuration,1,532398,CHEMBL3083945,,BAO_0000218,,,CLD0
916459,70439,"Post-emergence herbicidal activity against Avena fatua assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Avena fatua",4499,,,,,50401,N,1,Autocuration,1,532397,CHEMBL3083946,,BAO_0000218,,,CLD0
916460,70439,"Post-emergence herbicidal activity against Alopecurus myosuroides assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Alopecurus myosuroides",81473,,,,,101637,N,1,Autocuration,1,532396,CHEMBL3083947,,BAO_0000218,,,CLD0
916461,70439,"Post-emergence herbicidal activity against Xanthium strumarium (cocklebur) assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Xanthium strumarium",318068,,,,,102144,N,1,Autocuration,1,532395,CHEMBL3083948,,BAO_0000218,,,CLD0
916462,70439,"Post-emergence herbicidal activity against Veronica persica assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Veronica persica",138560,,,,,106900,N,1,Autocuration,1,532394,CHEMBL3083949,,BAO_0000218,,,CLD0
916463,70439,"Post-emergence herbicidal activity against Stellaria media assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Stellaria media",13274,,,,,106859,N,1,Autocuration,1,532393,CHEMBL3083950,,BAO_0000218,,,CLD0
916464,70439,"Post-emergence herbicidal activity against Solanum nigrum (black nightshade) assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Solanum nigrum",4112,,,,,107325,N,1,Autocuration,1,532392,CHEMBL3083951,,BAO_0000218,,,CLD0
916465,70439,"Post-emergence herbicidal activity against Sida spinosa assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Sida spinosa",108380,,,,,102078,N,1,Autocuration,1,532391,CHEMBL3083952,,BAO_0000218,,,CLD0
916466,70439,"Post-emergence herbicidal activity against Persicaria maculosa assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Persicaria maculosa",457184,,,,,107340,N,1,Autocuration,1,532389,CHEMBL3083953,,BAO_0000218,,,CLD0
916467,70439,"Post-emergence herbicidal activity against Portulaca oleracea assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Portulaca oleracea",46147,,,,,106864,N,1,Autocuration,1,532390,CHEMBL3083954,,BAO_0000218,,,CLD0
916468,70439,"Post-emergence herbicidal activity against Papaver rhoeas assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Papaver rhoeas",33128,,,,,107343,N,1,Autocuration,1,532388,CHEMBL3083955,,BAO_0000218,,,CLD0
916469,70439,"Post-emergence herbicidal activity against Matricaria chamomilla assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Matricaria chamomilla",98504,,,,,106905,N,1,Autocuration,1,532387,CHEMBL3083956,,BAO_0000218,,,CLD0
916470,70439,"Post-emergence herbicidal activity against Ipomoea purpurea (common morning-glory) assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Ipomoea purpurea",4121,,,,,102517,N,1,Autocuration,1,532386,CHEMBL3083957,,BAO_0000218,,,CLD0
916471,70439,"Post-emergence herbicidal activity against Geranium dissectum assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Geranium dissectum",326028,,,,,107170,N,1,Autocuration,1,532385,CHEMBL3083958,,BAO_0000218,,,CLD0
916472,70439,"Post-emergence herbicidal activity against Galium aparine assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Galium aparine",29788,,,,,107344,N,1,Autocuration,1,532384,CHEMBL3083959,,BAO_0000218,,,CLD0
916473,70439,"Post-emergence herbicidal activity against Calystegia sepium assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Calystegia sepium",47519,,,,,107086,N,1,Autocuration,1,532383,CHEMBL3083960,,BAO_0000218,,,CLD0
916474,70439,"Post-emergence herbicidal activity against Chenopodium album assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Chenopodium album",3559,,,,,101719,N,1,Autocuration,1,532382,CHEMBL3083961,,BAO_0000218,,,CLD0
916475,70439,"Post-emergence herbicidal activity against Capsella bursa-pastoris assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Capsella bursa-pastoris",3719,,,,,106972,N,1,Autocuration,1,532381,CHEMBL3083962,,BAO_0000218,,,CLD0
916476,70439,"Post-emergence herbicidal activity against Amni maius assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Amni maius",,,,,,107438,N,1,Autocuration,1,532380,CHEMBL3076226,,BAO_0000218,,,CLD0
916477,70439,"Post-emergence herbicidal activity against Amaranthus retroflexus assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Amaranthus retroflexus",124763,,,,,101646,N,1,Autocuration,1,532379,CHEMBL3076227,,BAO_0000218,,,CLD0
916478,70439,"Post-emergence herbicidal activity against Abutilon theophrasti (velvetleaf) assessed as injury at 50 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Abutilon theophrasti",3631,,,,,101626,N,1,Autocuration,1,532378,CHEMBL3076228,,BAO_0000218,,,CLD0
916485,70439,"Post-emergence herbicidal activity against Sorghum bicolor assessed as injury at 150 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Sorghum bicolor",4558,,,,,102086,N,1,Autocuration,1,532371,CHEMBL3059503,,BAO_0000218,,,CLD0
916486,70439,"Post-emergence herbicidal activity against Phalaris arundinacea assessed as injury at 150 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Phalaris arundinacea",96050,,,,,106904,N,1,Autocuration,1,532369,CHEMBL3059504,,BAO_0000218,,,CLD0
916487,70439,"Post-emergence herbicidal activity against Setaria viridis (green foxtail) assessed as injury at 150 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Setaria viridis",4556,,,,,50402,N,1,Autocuration,1,532370,CHEMBL3059505,,BAO_0000218,,,CLD0
916488,70439,"Post-emergence herbicidal activity against Panicum dichotomiflorum assessed as injury at 150 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Panicum dichotomiflorum",29692,,,,,107434,N,1,Autocuration,1,532368,CHEMBL3076203,,BAO_0000218,,,CLD0
916489,70439,"Post-emergence herbicidal activity against Echinochloa crus-galli (barnyard grass) assessed as injury at 150 g/ha applied at 15 days post-sowing measured after 15 days relative to control",F,,,"Echinochloa crus-galli",90397,,,,,50059,N,1,Autocuration,1,532367,CHEMBL3076204,,BAO_0000218,,,CLD0
